fema_declaration_string,disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,last_refresh,hash,id,county,county_ascii,county_full,state_name,lat,lng,population,total_risk,Minimum Elevation,Mean Elevation
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22001,99001,Acadia (Parish),5078,,2023-03-18T13:22:03Z,f82e5a514f24819b8bd766770362bcc45be866f7,e8628e5b-6c37-469f-abd5-39d6a4239269,Acadia,Acadia,Acadia Parish,Louisiana,30.2906,-92.412,57674.0,5,1,8.29319371728
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22003,99003,Allen (Parish),5078,,2023-03-18T13:22:03Z,977a79ea6021f0ee8621a4626a71dfa82016be33,5148ea65-760f-4c1a-9455-43de6d5e4e3f,Allen,Allen,Allen Parish,Louisiana,30.653,-92.828,22798.0,3,8,23.5970982143
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22005,99005,Ascension (Parish),5078,,2023-03-18T13:22:03Z,7b5420b6ecfcc8e297432afbff2230ea9d21d66b,801514c8-6045-48a4-96b4-aa24f495dc68,Ascension,Ascension,Ascension Parish,Louisiana,30.2036,-90.9113,126973.0,3,1,2.625574977
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22007,99007,Assumption (Parish),5078,,2023-03-18T13:22:03Z,96e31807b0737093df0da972f2c3260cfffd8a2b,40daccbb-2e72-4116-8182-054bfc060137,Assumption,Assumption,Assumption Parish,Louisiana,29.9024,-91.0608,21067.0,3,1,1.53255813953
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22009,99009,Avoyelles (Parish),5078,,2023-03-18T13:22:03Z,aa20e6459e5f6d95fa979d1b4308605392815616,5b95f5e8-f126-45c5-ad5b-3cff13ced628,Avoyelles,Avoyelles,Avoyelles Parish,Louisiana,31.0763,-92.0014,39529.0,5,3,14.1803870121
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22011,99011,Beauregard (Parish),5078,,2023-03-18T13:22:03Z,b272e70eebf7e19957c28b276de78ef52f21abbc,42d7768e-6cd9-4e80-bc77-eec70b5f8f54,Beauregard,Beauregard,Beauregard Parish,Louisiana,30.6486,-93.3432,36553.0,2,7,34.6474592755
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22013,99013,Bienville (Parish),5078,,2023-03-18T13:22:03Z,d629dbadc643ed86241bed4212b476743f6836fb,2de6081f-496f-47e8-80ac-c22efd69712c,Bienville,Bienville,Bienville Parish,Louisiana,32.3473,-93.0561,12958.0,2,36,73.3743994509
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22015,99015,Bossier (Parish),5078,,2023-03-18T13:22:03Z,4b4e40fa9c1588e771d10f8feea3ec7d59caac41,bbfee14f-d1cd-4f55-8cda-591471835f76,Bossier,Bossier,Bossier Parish,Louisiana,32.6784,-93.6049,128877.0,1,39,63.6019726376
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22017,99017,Caddo (Parish),5078,,2023-03-18T13:22:03Z,9d33282570ad51d19c74c7ea621bc520d08a806c,c1a5cd9e-ac15-49ce-8243-f6bd9bca9875,Caddo,Caddo,Caddo Parish,Louisiana,32.5806,-93.8823,236259.0,2,36,64.6666666667
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22019,99019,Calcasieu (Parish),5078,,2023-03-18T13:22:03Z,827ad9277f2e4b4d060507e7e2dd0d0637f81a35,f8062cef-4f27-407a-b6ca-786272a40a22,Calcasieu,Calcasieu,Calcasieu Parish,Louisiana,30.2293,-93.3581,210770.0,3,1,5.27128921698
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22021,99021,Caldwell (Parish),5078,,2023-03-18T13:22:03Z,9ac0b10e21ebc9833e8fe5b4fea3f711e07b67e7,8cbf963e-3c3c-4a7a-85ff-33d9096a79bd,Caldwell,Caldwell,Caldwell Parish,Louisiana,32.0925,-92.1166,9658.0,3,7,36.314344899
